method,action,x,y,width,height
menu,back,519,163,45,25
menu,forward,575,163,45,25
menu,reload,637,163,45,25
menu,bookmark,513,192,85,29
menu,new_tab,513,224,173,29
menu,new_private_tab,513,255,173,29
menu,find_in_page,513,287,173,29
menu,desktop_mode,513,317,173,29
menu,settings,513,414,173,29
menu,help,513,445,173,29
contextmenu,home_open_new_tab,1,283,214,30
contextmenu,home_open_private_tab,1,317,214,30
contextmenu,home_copyurl,1,352,214,30
contextmenu,home_share,1,387,214,30
contextmenu,top_sites_edit,1,420,214,30
contextmenu,top_sites_pin,1,455,214,30
contextmenu,home_remove,1,490,214,30
contextmenu,home_add_to_launcher,1,523,214,30
contextmenu,web_open_new_tab,159,646,215,30
contextmenu,web_open_private_tab,159,680,215,30
contextmenu,web_copy_link,159,715,215,30
contextmenu,web_bookmark,159,749,215,30
contextmenu,web_copy_image,389,649,215,30
contextmenu,web_save_image,389,684,215,30
contextmenu,web_background_image,389,717,215,30
